X,Y,sigma_xx,sigma_yy,sigma_xy,sigma_1,sigma_3,epsilon_xx,epsilon_yy,epsilon_xy,tau_mob,tau_max,tau_rel,status
0.0,0.0,0.049571436,0.06450687,0.009535488,0.06915082,0.044927493,0.003990465,0.007873678,0.004958453,0.012111664,2.9102793,0.0041616843,0.0
0.0,0.42857143,0.038653582,0.023950767,0.015041506,0.04804404,0.01456031,0.0051667914,0.00134406,0.007821582,0.016741864,2.9160688,0.0057412446,0.0
0.0,0.21428572,0.007994159,0.015456833,0.012827781,0.025084944,-0.0016339514,0.00024930385,0.002189599,0.0066704457,0.013359448,2.9204726,0.004574413,0.0
0.0,0.32142857,0.08690805,0.08226245,0.0109585645,0.09578728,0.07338322,0.009400793,0.008192937,0.005698453,0.01120203,2.9040828,0.0038573383,0.0
0.0,0.10714286,0.08376609,0.07419084,0.00962539,0.08972879,0.06822814,0.009458541,0.006968977,0.0050052023,0.0107503235,2.905344,0.0037001895,0.0
0.0,3.0,0.0746963,0.07214632,0.007149297,0.08068341,0.06615922,0.007967312,0.0073043182,0.003717634,0.007262096,2.906594,0.0024984898,0.0
0.0,0.42857143,0.034647726,0.027637744,0.010843068,0.04253822,0.01974725,0.004150141,0.0023275467,0.005638395,0.011395484,2.9161046,0.0039077764,0.0
0.0,3.0,0.081252776,0.08442864,0.011620706,0.09456941,0.071112014,0.00820257,0.009028295,0.0060427664,0.0117286965,2.9044752,0.0040381467,0.0
0.0,2.5714285,0.026666323,0.032856878,0.0035952933,0.034505744,0.025017459,0.0022904337,0.0038999782,0.0018695523,0.0047441423,2.9164155,0.0016267032,0.0
0.0,2.7857144,0.07904065,0.06781439,0.010456534,0.08529538,0.061559644,0.009095875,0.006177047,0.0054373974,0.011867868,2.9065926,0.0040830863,0.0
0.0,2.892857,0.022422912,0.03714875,0.0021726477,0.037462614,0.022109048,0.0011833669,0.005012085,0.0011297767,0.007676783,2.91641,0.0026322715,0.0
0.0,2.6785715,0.011782936,0.017849619,0.0126773305,0.027851455,0.0017810985,0.00075222395,0.0023295612,0.0065922113,0.013035178,2.9197774,0.0044644424,0.0
0.0,0.42857143,0.053461116,0.072278365,0.007189118,0.07471059,0.051028896,0.00409221,0.008984694,0.003738341,0.011840848,2.9089677,0.004070464,0.0
0.0,0.42857143,0.07873845,0.060637463,0.013051987,0.085570835,0.053805076,0.009600675,0.004894418,0.0067870324,0.01588288,2.907434,0.0054628514,0.0
0.0,0.85714287,0.034718323,0.054175872,0.005417357,0.055582482,0.033311713,0.0020930164,0.0071519786,0.0028170254,0.011135384,2.913112,0.0038225048,0.0
0.0,0.64285713,0.033156667,0.05249989,0.008910672,0.055978946,0.029677607,0.0019395216,0.006968759,0.004633549,0.01315067,2.913476,0.0045137387,0.0
0.0,0.75,0.07038762,0.05001412,0.018385656,0.081219964,0.039181776,0.008909444,0.0036123348,0.00956054,0.021019094,2.909568,0.0072241286,0.0
